원어,순화어,분야,뜻,예문,주의,출처,replace_strategy,risk_level,status,한자,word_grade
급여,일한 대가로 받는 돈.,복지,일한 대가로 받는 돈.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=41444",gloss,low,review,給與,고급
교부,내어 줌,행정,공공 기관에서 공적인 문서나 자격증 등을 내어 줌.,,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=31391",substitute,none,active,,고급
기재,적기,,어떤 사실을 문서 등에 씀.,,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=23798",substitute,none,active,記載,고급
사본,복사한 것,금융·세무,원본을 복사하거나 베껴 놓은 서류나 책.,,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=61140",substitute,none,active,寫本,고급
자활,스스로의 힘과 노력으로 살아감.,,스스로의 힘과 노력으로 살아감.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=73692",gloss,low,review,自活,고급
통보,알림,행정,어떤 명령이나 소식 등을 말이나 글로 알림.,,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=85976",substitute,none,active,通報,고급
한도,그 이상을 넘지 않도록 정해진 정도나 범위.,보건·의료,그 이상을 넘지 않도록 정해진 정도나 범위.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=84132",gloss,low,review,限度,고급
위원장,"위원들 가운데 최고 지위, 대표 책임자.",,"위원들 가운데 최고 지위, 대표 책임자.",,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=26756",gloss,low,review,委員長,고급
특례,보통과 다른 특별한 예.,보건·의료,보통과 다른 특별한 예.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=82987",gloss,low,review,特例,고급
위원,선거나 임명을 통하여 단체에서 특정한 목적의 일을 맡은 사람.,복지,선거나 임명을 통하여 단체에서 특정한 목적의 일을 맡은 사람.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=26754",gloss,low,review,委員,고급
